Places,Latitude,longitude
The Crocifisso del Tufo necropolis (Orvieto),42.719444,12.103056
Pozzo della cava (Orvieto),42.718484,12.105346
Etruscan necropolis at Cerveteri (Caere),42,12.1
Monterozzi necropolis at Tarquinia,42.250556,11.77
Tanella di Pitagora tomb at Cortna,43.275556,11.988056
"Tomba Ildebranda, Sorano",42.766926,11.6423587
"Tomba della Pellagrina, Chiusi",43.0287218,11.9505501
Populonia/Fufluna Etruscan town,42.989444,10.491389
Rusellae Etruscan town,42.809444,11.138611
Cosa Etruscan/Roman town,42.410919,11.286503
